VIAL,TREATMENT,POPULATION,K1,K2,K3,K4,K5,K6,K7,GROUP,CONTINENT
34,T,AF2,0,0,0,0,0,0,0,1,AFRICA
35,T,EU2,0,0,0,0,0,0,0,1,EUROPE
36,C,AM1,0,0,0,0,0,0,0,1,AMERICA
37,C,AS1,0,0,0,0,0,1,0,1,ASIA
38,C,AM2,0,0,0,0,0,1,0,1,AMERICA
39,C,AF2,0,0,0,0,0,0,1,1,AFRICA
40,T,AF1,0,0,0,0,0,0,0,1,AFRICA
41,C,AS1,0,0,0,0,0,0,0,1,ASIA
42,T,EU1,0,0,0,0,1,0,0,1,EUROPE
43,T,EU2,0,1,0,0,0,0,0,1,EUROPE
44,C,AM1,0,0,0,0,0,1,0,1,AMERICA
45,C,AM1,0,0,0,0,0,0,0,1,AMERICA
46,T,AF2,0,0,0,0,0,1,0,1,AFRICA
47,T,AS1,0,0,0,0,0,0,0,1,ASIA
48,T,AS1,0,0,0,0,0,0,0,1,ASIA
49,T,EU1,0,0,0,1,0,0,0,1,EUROPE
50,T,AM2,0,0,0,0,0,0,0,1,AMERICA
51,T,AS1,0,0,0,0,0,0,0,1,ASIA
52,T,AM2,0,0,0,0,0,0,0,1,AMERICA
53,T,AF2,0,0,0,0,0,0,0,1,AFRICA
54,T,AS2,0,0,0,0,0,0,0,1,ASIA
55,T,AM1,0,0,0,0,0,1,0,1,AMERICA
56,T,AM2,0,0,0,1,0,0,0,1,AMERICA
57,T,AS1,0,0,0,0,0,0,0,1,ASIA
58,T,AF2,0,0,0,0,0,0,1,1,AFRICA
59,T,AS2,0,0,1,0,0,0,0,1,ASIA
60,T,AF1,0,0,0,0,1,0,0,1,AFRICA
61,T,AM2,0,1,0,0,0,0,0,1,AMERICA
62,T,AM1,0,0,0,0,0,0,0,1,AMERICA
63,T,EU2,0,0,0,0,0,0,0,1,EUROPE
64,T,AM2,0,0,0,0,0,0,0,1,AMERICA
65,T,AM1,0,0,0,0,0,0,0,1,AMERICA
66,T,AF1,0,0,0,0,0,0,0,1,AFRICA
67,T,AS2,0,0,0,0,0,0,0,1,ASIA
68,T,AM1,0,0,0,0,0,1,0,1,AMERICA
69,T,EU1,0,0,0,0,0,0,0,1,EUROPE
70,T,AM2,0,0,0,0,0,0,0,1,AMERICA
71,C,AF2,0,0,0,1,0,0,0,1,AFRICA
72,T,AF2,0,0,0,1,0,0,0,1,AFRICA
73,T,AS1,0,0,0,0,0,0,0,1,ASIA
74,T,AS1,0,0,0,0,0,0,0,1,ASIA
75,T,AM2,0,0,0,0,0,0,0,1,AMERICA
76,T,AF2,0,0,0,0,0,0,0,1,AFRICA
77,C,AF1,0,0,1,0,0,0,0,1,AFRICA
78,T,AF2,0,0,0,0,0,0,0,1,AFRICA
79,T,AS2,0,0,0,0,0,0,1,1,ASIA
80,T,AF1,0,0,0,1,0,0,0,1,AFRICA
81,T,AF2,0,0,0,0,1,0,0,1,AFRICA
82,T,AF1,0,0,0,0,0,0,0,1,AFRICA
83,T,AS2,0,0,0,0,1,0,0,1,ASIA
84,T,EU2,0,0,0,0,0,0,0,1,EUROPE
85,C,AM2,0,0,0,0,0,0,0,1,AMERICA
86,T,AM1,0,0,0,0,0,0,0,1,AMERICA
87,T,AF2,0,0,0,0,0,0,0,1,AFRICA
88,C,EU1,0,0,0,0,0,0,0,1,EUROPE
89,C,AF1,0,0,0,0,0,0,0,1,AFRICA
90,T,AM1,0,0,0,0,0,0,0,1,AMERICA
91,T,AM1,0,0,0,0,0,0,0,1,AMERICA
92,C,AF1,0,0,0,0,0,0,0,1,AFRICA
93,T,AM1,0,0,0,0,0,0,0,1,AMERICA
94,T,AF2,0,0,0,0,0,0,0,1,AFRICA
95,T,AS2,0,0,0,0,0,0,0,1,ASIA
96,T,EU2,0,0,0,0,0,0,0,1,EUROPE
97,T,AS1,0,0,0,0,0,0,0,1,ASIA
98,T,AS1,0,0,0,1,0,0,0,1,ASIA
99,C,AS1,0,0,0,0,0,0,1,1,ASIA
100,T,AS2,0,0,0,0,0,1,0,1,ASIA
101,T,EU2,0,0,0,0,0,0,0,1,EUROPE
102,C,AF2,0,0,0,0,0,1,0,1,AFRICA
103,T,AS2,0,0,0,0,0,0,0,1,ASIA
104,T,AF2,0,0,0,0,0,0,0,1,AFRICA
